rank,name,id,slug,url,score,missing_count,name_flag,missing_fields
159,"Energy Development Corporation",1523,"energy-development-corporation-1523","https://www.edc.ph/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
160,"Enpal",2586,"enpal-2586","https://enpal.com",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
161,"Solstice",2588,"solstice-2588","https://solstice.us",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
162,"ART-PV India",2598,"art-pv-india-2598","https://artpv.in",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
163,"tozero",2229,"tozero-2229","https://tozero.com",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
164,"OhmConnect",1943,"ohmconnect-1943","https://www.ohmconnect.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
165,"US Solar",2602,"us-solar-2602","https://us-solar.com",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
166,"LionVolt",2233,"lionvolt-2233","https://lionvolt.com",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
167,"GreenFire Energy",2735,"greenfire-energy-2735","https://www.greenfireenergy.com",5,5,"","business_model; funding_stage; geographies; founding_year; logo(weak)"
168,"Enerdrape",2738,"enerdrape-2738","https://enerdrape.com",5,5,"","business_model; funding_stage; geographies; founding_year; logo(weak)"
169,"TLS GEOTHERMICS",2740,"tls-geothermics-2740","https://tlsgeothermics.com",5,5,"","business_model; funding_stage; geographies; customers; founding_year"
170,"FlyGreen",2376,"flygreen-2376","https://flygreen.aero",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
171,"Verde Mobility",2237,"verde-mobility-2237","https://verdemobility.com",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
172,"Liatris",1946,"liatris-1946","https://www.liatris.biz/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
173,"Clear Current",1944,"clear-current-1944","https://clearcurrent.ai/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
174,"WiTricity",1949,"witricity-1949","https://www.witricity.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
175,"Home - Powerdot",1417,"home-powerdot-1417","https://powerdot.eu/",5,1,"name looks like a page title","founding_year"
176,"Stargate Hydrogen",2416,"stargate-hydrogen-2416","https://stargatehydrogen.com",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
177,"Carbonade",2349,"carbonade-2349","https://carbonade.com",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
178,"Pajarito Powder",1926,"pajarito-powder-1926","https://pajaritopowder.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
179,"Greenlyte Carbon Technologies",2351,"greenlyte-carbon-technologies-2351","https://greenlyte.com",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
180,"EcoFlow",1952,"ecoflow-1952","https://us.ecoflow.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
181,"Serentica",1955,"serentica-1955","https://www.serenticaglobal.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
182,"Arevon",1956,"arevon-1956","https://arevonenergy.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
183,"Nexamp",1954,"nexamp-1954","https://www.nexamp.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
184,"Aspen Power",1957,"aspen-power-1957","https://aspenpower.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
185,"Foreslab",1984,"foreslab-1984","https://foreslab.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
186,"Madison Energy",1958,"madison-energy-1958","https://www.madisonei.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
187,"SunCulture",1953,"sunculture-1953","https://sunculture.io/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
